ID_Tempo;Cod_Tempo;Data;Numero_Dia_Semana;Numero_Mes;Numero_Ano;Nome_Mes;Numero_Trimestre;Nome_Trimestre;Numero_Semestre;Nome_Semestre
1;20130101;2012-12-31;3;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
2;20130102;2013-01-01;4;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
3;20130103;2013-01-02;5;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
4;20130104;2013-01-03;6;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
5;20130105;2013-01-04;7;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
6;20130106;2013-01-05;1;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
7;20130107;2013-01-06;2;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
8;20130108;2013-01-07;3;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
9;20130109;2013-01-08;4;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
10;20130110;2013-01-09;5;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
11;20130111;2013-01-10;6;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
12;20130112;2013-01-11;7;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
13;20130113;2013-01-12;1;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
14;20130114;2013-01-13;2;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
15;20130115;2013-01-14;3;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
16;20130116;2013-01-15;4;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
17;20130117;2013-01-16;5;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
18;20130118;2013-01-17;6;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
19;20130119;2013-01-18;7;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
20;20130120;2013-01-19;1;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
21;20130121;2013-01-20;2;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
22;20130122;2013-01-21;3;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
23;20130123;2013-01-22;4;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
24;20130124;2013-01-23;5;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
25;20130125;2013-01-24;6;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
26;20130126;2013-01-25;7;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
27;20130127;2013-01-26;1;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
28;20130128;2013-01-27;2;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
29;20130129;2013-01-28;3;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
30;20130130;2013-01-29;4;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
31;20130131;2013-01-30;5;1;2013;Janeiro;1;Primeiro Trimestre;1;Primeiro Semestre
32;20130201;2013-01-31;6;2;2013;Fevereiro;1;Primeiro Trimestre;1;Primeiro Semestre
33;20130202;2013-02-01;7;2;2013;Fevereiro;1;Primeiro Trimestre;1;Primeiro Semestre
34;20130203;2013-02-02;1;2;2013;Fevereiro;1;Primeiro Trimestre;1;Primeiro Semestre
